"","sim1","sim2","sim3","sim4","sim5","sim6","sim7","sim8","sim9","sim10"
"1",64645,64637,64776,64867,64755,64644,64606,64817,64640,64916
"2",55842,56063,56095,55895,55948,56123,55760,55888,55798,56033
"3",49249,49493,49337,49149,49219,49425,49187,49173,48924,49334
"4",43703,43803,43681,43559,43492,43833,43522,43687,43245,43845
"5",38915,38953,38890,38788,38727,39043,38824,38860,38494,38991
"6",34758,34735,34796,34698,34475,34836,34538,34858,34360,34853
"7",30978,31011,31050,31038,30976,31054,30818,31199,30697,31203
"8",27738,27782,27793,27795,27806,27713,27569,27947,27318,27855
"9",24802,24811,24771,24887,24748,24750,24701,24929,24340,25037
"10",22138,22084,22088,22152,22073,22131,21980,22157,21813,22347
"11",19702,19683,19692,19748,19629,19765,19534,19732,19503,19862
"12",17524,17435,17541,17559,17447,17567,17330,17579,17304,17534
"13",15511,15503,15616,15600,15514,15566,15375,15530,15279,15522
"14",13720,13606,13852,13698,13754,13727,13540,13663,13519,13726
"15",12032,11942,12169,12019,12080,12142,12013,12032,11929,12107
"16",10561,10461,10677,10533,10575,10694,10601,10600,10583,10638
"17",9193,9096,9281,9196,9270,9345,9323,9262,9198,9257
"18",7971,7931,8071,8034,8085,8027,8123,8105,7986,8085
"19",6911,6823,6960,6921,7057,6956,7037,6997,6952,7043
"20",5931,5919,6003,5960,6047,5974,6085,6037,6011,6045
"21",5069,5074,5136,5065,5161,5106,5223,5188,5118,5133
"22",4288,4295,4339,4364,4396,4316,4464,4406,4393,4345
"23",3630,3632,3656,3690,3692,3684,3782,3708,3725,3681
"24",3025,3065,3048,3112,3084,3101,3140,3084,3149,3056
"25",2540,2546,2542,2580,2599,2592,2608,2592,2646,2541
"26",2097,2126,2099,2162,2179,2156,2143,2131,2186,2104
"27",1727,1727,1716,1751,1801,1793,1807,1744,1828,1707
"28",1424,1448,1407,1443,1483,1463,1491,1429,1552,1373
"29",1181,1187,1165,1209,1202,1216,1218,1160,1259,1109
"30",967,977,933,975,972,1001,1013,954,1042,900
"31",795,793,753,783,811,810,843,773,854,720
"32",645,639,601,650,669,667,692,617,711,594
"33",524,533,481,524,554,556,572,479,581,491
"34",414,431,399,419,447,449,472,376,488,404
"35",331,348,327,326,375,379,370,305,409,319
"36",275,282,264,265,302,313,292,257,336,258
"37",222,226,220,219,241,256,250,197,283,200
"38",176,180,183,178,203,209,211,160,232,154
"39",138,149,148,146,163,173,181,137,197,119
"40",119,119,119,132,139,135,152,107,166,94
"41",103,103,94,113,124,109,122,92,130,79
"42",83,84,83,100,106,86,101,78,115,69
"43",71,77,73,90,99,68,86,74,97,62
"44",63,68,65,78,93,61,69,62,81,57
"45",51,72,62,74,84,59,66,60,75,56
"46",46,67,54,62,80,56,60,61,67,54
"47",43,74,55,62,78,54,56,59,56,56
"48",44,76,56,61,74,57,56,63,57,59
"49",46,79,64,65,73,63,59,70,58,64
"50",49,86,73,72,77,67,60,81,55,73
"51",58,88,83,80,86,76,68,87,62,81
"52",69,97,90,89,99,82,68,105,69,97
"53",84,109,100,106,109,91,77,113,79,110
"54",93,118,110,118,126,103,81,121,92,124
"55",109,127,122,125,135,125,91,139,104,138
"56",125,140,140,136,140,132,102,159,111,158
"57",139,147,154,156,148,151,112,173,123,169
"58",160,157,176,177,166,166,132,192,134,187
"59",170,175,196,190,174,184,151,204,162,198
"60",190,194,211,203,190,199,167,219,188,215
"61",210,213,230,217,213,212,181,231,201,223
"62",224,232,245,233,231,228,203,246,215,236
"63",246,241,259,246,240,242,214,262,229,253
"64",266,254,280,261,260,257,231,273,246,265
"65",284,268,294,272,273,276,256,286,261,276
"66",295,280,306,286,290,296,271,299,276,290
"67",308,298,315,299,305,308,286,316,290,302
"68",313,311,332,311,312,316,305,330,295,313
"69",321,322,343,323,324,327,320,335,308,328
"70",338,331,350,329,330,337,330,342,317,337
"71",348,334,359,339,338,345,336,349,324,340
"72",353,341,363,341,347,348,342,356,335,348
"73",359,348,367,346,351,353,345,360,341,355
"74",362,357,370,354,356,360,348,364,347,359
"75",367,363,371,360,359,365,356,366,355,365
"76",371,368,374,364,362,367,361,369,361,370
"77",373,370,374,367,366,370,367,369,365,370
"78",375,372,376,368,369,373,373,373,369,372
"79",378,374,377,371,372,375,377,375,372,374
"80",378,376,378,375,374,377,377,375,373,374
"81",378,377,378,377,375,378,377,377,376,376
"82",378,378,378,378,379,378,378,378,377,377
"83",378,378,380,378,380,379,378,378,379,380
"84",378,380,380,379,380,379,379,378,379,380
"85",380,380,380,379,380,379,380,378,380,380
"86",380,380,380,379,380,379,380,378,380,380
"87",380,380,380,380,380,379,380,379,380,380
"88",380,380,380,380,380,380,380,379,380,380
"89",380,380,380,380,380,380,380,380,380,380
"90",380,380,380,380,380,380,380,380,380,380
"91",380,380,380,380,380,380,380,380,380,380
"92",380,380,380,380,380,380,380,380,380,380
"93",380,380,380,380,380,380,380,380,380,380
"94",380,380,380,380,380,380,380,380,380,380
"95",380,380,380,380,380,380,380,380,380,380
"96",380,380,380,380,380,380,380,380,380,380
"97",380,380,380,380,380,380,380,380,380,380
"98",380,380,380,380,380,380,380,380,380,380
"99",380,380,380,380,380,380,380,380,380,380
"100",380,380,380,380,380,380,380,380,380,380
