"","sim1","sim2","sim3","sim4","sim5","sim6","sim7","sim8","sim9","sim10"
"1",64510,64366,64447,64560,64407,64636,64494,64578,64492,64573
"2",49911,49241,49555,48957,48822,50033,49456,49459,49762,49934
"3",39810,39155,39410,38668,38578,39894,39480,39465,39708,39803
"4",32012,31407,31951,30983,31019,32123,31733,31858,32154,32059
"5",25856,25305,25629,24983,24745,25932,25518,25575,26063,25770
"6",20717,20248,20547,20100,19902,20863,20426,20525,20969,20698
"7",16522,16169,16371,15963,15755,16695,16304,16287,16766,16608
"8",12909,12737,12833,12579,12479,13090,12823,12715,13207,13046
"9",9976,9896,10014,9799,9764,10122,9903,9878,10277,10187
"10",7580,7489,7610,7488,7549,7681,7603,7497,7855,7683
"11",5609,5545,5727,5593,5663,5659,5650,5557,5823,5717
"12",4075,4036,4108,4048,4210,4084,4145,4024,4211,4128
"13",2864,2872,2908,2883,3028,2884,2969,2856,2949,2932
"14",1979,1966,2069,2050,2196,2010,2061,1994,2073,2048
"15",1383,1348,1457,1427,1536,1365,1421,1402,1419,1398
"16",971,954,1008,936,1089,982,1035,996,978,1005
"17",685,685,705,684,804,724,725,695,700,734
"18",516,512,541,520,628,550,543,537,529,554
"19",430,422,447,417,513,454,419,449,444,458
"20",365,374,387,357,443,410,372,387,388,398
"21",335,358,367,340,412,392,349,354,361,370
"22",328,350,354,326,398,390,334,343,355,358
"23",338,346,358,324,397,381,334,339,350,362
"24",346,357,358,330,398,388,339,355,354,369
"25",357,371,367,344,400,401,351,359,365,378
"26",377,382,374,357,405,415,364,368,384,392
"27",399,391,384,372,408,431,375,390,396,408
"28",413,408,400,386,419,442,389,406,415,420
"29",425,420,418,401,423,452,409,417,435,433
"30",441,431,436,416,431,463,429,434,461,450
"31",446,438,452,426,443,482,443,452,476,466
"32",468,450,466,440,456,499,461,469,484,477
"33",480,470,484,450,464,521,476,482,504,487
"34",496,476,494,461,474,532,487,489,517,504
"35",515,482,511,477,482,539,505,498,523,513
"36",528,494,525,484,497,551,516,509,538,520
"37",544,505,534,498,507,564,532,520,548,534
"38",550,514,547,516,515,571,543,536,559,549
"39",559,522,553,529,525,579,551,547,562,555
"40",566,530,558,536,543,583,558,556,567,561
"41",573,540,569,549,547,584,566,567,576,572
"42",576,550,576,557,547,585,571,571,579,581
"43",578,557,582,562,557,588,578,574,584,586
"44",581,565,585,567,561,590,582,580,586,587
"45",585,569,586,571,565,590,585,586,590,592
"46",588,575,588,578,567,591,589,589,591,594
"47",590,579,594,580,572,592,591,591,593,595
"48",592,583,595,587,575,592,592,591,594,595
"49",593,585,597,591,577,592,592,592,597,596
"50",594,588,598,595,579,593,593,592,598,596
"51",595,591,598,597,581,593,594,594,598,596
"52",596,593,598,597,583,593,595,594,598,597
"53",596,594,598,597,586,594,596,597,598,597
"54",597,595,598,597,588,594,597,597,598,598
"55",597,595,598,597,591,594,598,597,598,598
"56",597,595,598,597,591,594,598,598,598,598
"57",597,596,598,597,591,596,598,598,598,598
"58",597,596,598,598,592,596,598,598,598,598
"59",598,596,598,598,594,597,598,598,598,598
"60",598,597,598,598,595,597,598,598,598,598
"61",598,598,598,598,596,598,598,598,598,598
"62",598,598,598,598,596,598,598,598,598,598
"63",598,598,598,598,597,598,598,598,598,598
"64",598,598,598,598,597,598,598,598,598,598
"65",598,598,598,598,597,598,598,598,598,598
"66",598,598,598,598,597,598,598,598,598,598
"67",598,598,598,598,598,598,598,598,598,598
"68",598,598,598,598,598,598,598,598,598,598
"69",598,598,598,598,598,598,598,598,598,598
"70",598,598,598,598,598,598,598,598,598,598
"71",598,598,598,598,598,598,598,598,598,598
"72",598,598,598,598,598,598,598,598,598,598
"73",598,598,598,598,598,598,598,598,598,598
"74",598,598,598,598,598,598,598,598,598,598
"75",598,598,598,598,598,598,598,598,598,598
"76",598,598,598,598,598,598,598,598,598,598
"77",598,598,598,598,598,598,598,598,598,598
"78",598,598,598,598,598,598,598,598,598,598
"79",598,598,598,598,598,598,598,598,598,598
"80",598,598,598,598,598,598,598,598,598,598
"81",598,598,598,598,598,598,598,598,598,598
"82",598,598,598,598,598,598,598,598,598,598
"83",598,598,598,598,598,598,598,598,598,598
"84",598,598,598,598,598,598,598,598,598,598
"85",598,598,598,598,598,598,598,598,598,598
"86",598,598,598,598,598,598,598,598,598,598
"87",598,598,598,598,598,598,598,598,598,598
"88",598,598,598,598,598,598,598,598,598,598
"89",598,598,598,598,598,598,598,598,598,598
"90",598,598,598,598,598,598,598,598,598,598
"91",598,598,598,598,598,598,598,598,598,598
"92",598,598,598,598,598,598,598,598,598,598
"93",598,598,598,598,598,598,598,598,598,598
"94",598,598,598,598,598,598,598,598,598,598
"95",598,598,598,598,598,598,598,598,598,598
"96",598,598,598,598,598,598,598,598,598,598
"97",598,598,598,598,598,598,598,598,598,598
"98",598,598,598,598,598,598,598,598,598,598
"99",598,598,598,598,598,598,598,598,598,598
"100",598,598,598,598,598,598,598,598,598,598
