"","vector_GCD_GIP_res_strategy1","vector_GCD_GIP_res_strategy2","vector_GCD_GIP_res_strategy3","vector_GCD_GIP_res_strategy4","vector_GCD_GIP_res_strategy5","vector_GCD_GIP_res_strategy6","vector_GCD_Oracle_res_strategy1","vector_GCD_Oracle_res_strategy2","vector_GCD_Oracle_res_strategy3","vector_GCD_Oracle_res_strategy4","vector_GCD_Oracle_res_strategy5","vector_GCD_Oracle_res_strategy6","vector_GCD_GIP_res_strategy1_LC","vector_GCD_GIP_res_strategy2_LC","vector_GCD_GIP_res_strategy3_LC","vector_GCD_GIP_res_strategy4_LC","vector_GCD_GIP_res_strategy5_LC","vector_GCD_GIP_res_strategy6_LC","vector_GCD_Oracle_res_strategy1_LC","vector_GCD_Oracle_res_strategy2_LC","vector_GCD_Oracle_res_strategy3_LC","vector_GCD_Oracle_res_strategy4_LC","vector_GCD_Oracle_res_strategy5_LC","vector_GCD_Oracle_res_strategy6_LC","vector_Stars_005_res","vector_Stars_01_res","Best_HD"
"1",342,64,380,77,380,380,162,170,64,64,380,76,254,76,291,84,380,380,162,113,162,66,380,85,513,1345,64
"2",319,70,380,67,380,380,219,159,56,99,380,82,247,73,290,56,380,380,106,189,219,82,380,82,489,1332,56
"3",310,62,380,380,380,380,190,219,70,85,380,73,245,68,325,380,380,380,179,219,190,73,380,73,500,1278,57
"4",315,61,144,67,380,353,144,81,62,71,380,55,201,61,303,52,380,333,144,177,150,81,380,55,517,1363,52
"5",309,80,123,69,379,345,150,68,68,90,380,90,213,90,294,68,380,345,150,190,150,80,380,90,552,1416,59
"6",329,66,380,70,380,380,221,165,51,66,380,59,238,66,297,380,380,380,105,165,238,59,374,66,553,1404,50
"7",323,74,127,68,380,71,177,111,69,111,380,95,223,84,323,69,380,367,177,111,177,101,380,84,575,1368,66
"8",333,67,341,380,380,354,142,152,78,78,380,77,238,71,298,380,380,372,142,177,142,67,380,380,515,1312,62
"9",329,88,123,72,375,337,182,152,78,78,375,81,249,88,329,77,378,351,182,130,182,81,380,81,532,1399,72
"10",318,66,251,380,380,380,186,125,57,78,380,78,251,78,277,75,380,380,94,157,186,78,380,380,484,1316,56
