"","vector_R_GCD_GIP_res_strategy1","vector_R_GCD_GIP_res_strategy2","vector_R_GCD_GIP_res_strategy3","vector_R_GCD_GIP_res_strategy4","vector_R_GCD_GIP_res_strategy5","vector_R_GCD_GIP_res_strategy6","vector_R_GCD_Oracle_res_strategy1","vector_R_GCD_Oracle_res_strategy2","vector_R_GCD_Oracle_res_strategy3","vector_R_GCD_Oracle_res_strategy4","vector_R_GCD_Oracle_res_strategy5","vector_R_GCD_Oracle_res_strategy6","vector_R_GCD_GIP_res_strategy1_LC","vector_R_GCD_GIP_res_strategy2_LC","vector_R_GCD_GIP_res_strategy3_LC","vector_R_GCD_GIP_res_strategy4_LC","vector_R_GCD_GIP_res_strategy5_LC","vector_R_GCD_GIP_res_strategy6_LC","vector_R_GCD_Oracle_res_strategy1_LC","vector_R_GCD_Oracle_res_strategy2_LC","vector_R_GCD_Oracle_res_strategy3_LC","vector_R_GCD_Oracle_res_strategy4_LC","vector_R_GCD_Oracle_res_strategy5_LC","vector_R_GCD_Oracle_res_strategy6_LC","vector_R_Stars_005_res","vector_R_Stars_01_res","Best_HD_R"
"1",425,338,441,338,377,346,425,338,377,328,338,338,446,335,335,335,346,357,425,516,425,516,338,346,516,1383,328
"2",476,346,476,346,382,371,482,350,482,350,346,371,450,358,583,358,371,382,482,422,585,422,382,346,512,1348,346
"3",418,358,452,358,358,367,384,367,384,367,374,358,418,354,582,354,367,367,374,447,466,447,358,358,541,1457,354
"4",401,330,401,330,357,344,344,344,344,330,330,344,372,340,372,340,357,357,330,417,330,417,330,330,520,936,324
"5",561,405,561,405,408,405,565,397,561,400,419,400,443,398,583,398,419,423,397,412,581,412,408,408,628,1089,397
"6",388,390,388,390,381,381,381,454,381,392,390,381,410,410,593,410,388,381,392,550,594,550,392,392,550,1365,381
"7",443,339,487,339,339,351,476,334,476,334,351,351,349,334,582,334,339,364,476,419,543,334,364,364,543,1421,334
"8",489,355,489,355,368,359,406,339,498,359,359,359,489,339,580,339,359,355,406,449,574,339,368,359,537,1402,339
"9",476,350,435,350,350,354,484,355,484,355,350,350,476,388,388,388,354,384,461,529,586,529,350,354,529,978,350
"10",466,369,466,369,369,378,420,358,420,370,369,378,433,370,581,370,392,378,420,398,572,398,369,378,554,1005,358
